IMPORT_OK
import time: self [us] | cumulative | imported package
import time:      2648 |       5431 |                     mcp.server.auth.provider
import time:       360 |       5790 |                   mcp.server.auth.middleware.bearer_auth
import time:       366 |       6629 |                 mcp.server.auth.middleware.auth_context
import time:       800 |        800 |                 mcp.server.auth.settings
import time:       196 |        196 |                 mcp.server.fastmcp.exceptions
import time:       650 |        650 |                     pydantic._internal._validate_call
import time:      3120 |       3769 |                   mcp.server.fastmcp.prompts.base
import time:       310 |        310 |                       mcp.server.fastmcp.utilities
import time:       381 |        691 |                     mcp.server.fastmcp.utilities.logging
import time:       387 |       1077 |                   mcp.server.fastmcp.prompts.manager
import time:       224 |       5069 |                 mcp.server.fastmcp.prompts
import time:      2096 |       2096 |                   mcp.server.fastmcp.resources.base
import time:      2586 |       2586 |                       mcp.server.fastmcp.resources.types
import time:       677 |       3262 |                     mcp.server.fastmcp.resources.templates
import time:       444 |       3705 |                   mcp.server.fastmcp.resources.resource_manager
import time:       257 |       6057 |                 mcp.server.fastmcp.resources
import time:      1226 |       1226 |                     mcp.server.fastmcp.utilities.func_metadata
import time:       859 |       2084 |                   mcp.server.fastmcp.tools.base
import time:       456 |        456 |                   mcp.server.fastmcp.tools.tool_manager
import time:       166 |       2705 |                 mcp.server.fastmcp.tools
import time:       427 |        427 |                 mcp.server.fastmcp.utilities.types
import time:       247 |        247 |                       mcp.server.lowlevel.helper_types
import time:       577 |        577 |                       mcp.server.models
import time:      1017 |       1017 |                       mcp.server.session
import time:       659 |        659 |                       mcp.server.stdio
import time:      1741 |       4239 |                     mcp.server.lowlevel.server
import time:       116 |       4354 |                   mcp.server.lowlevel
import time:        11 |       4365 |                 mcp.server.lowlevel.helper_types
import time:       708 |        708 |                     sse_starlette.event
import time:       366 |        366 |                       sse_starlette._utils
import time:       304 |        304 |                                   _compat_pickle
import time:        57 |         57 |                                   _pickle
import time:       680 |       1040 |                                 pickle
import time:        31 |         31 |                                   _queue
import time:       352 |        382 |                                 queue
import time:       529 |       1951 |                               logging.handlers
import time:       570 |        570 |                               socketserver
import time:       728 |       3248 |                             logging.config
import time:       810 |        810 |                             configparser
import time:       314 |        314 |                             uvicorn._ansi
import time:       457 |        457 |                             uvicorn._compat
import time:      1330 |       1330 |                             uvicorn._types
import time:       211 |        211 |                             uvicorn.importer
import time:       685 |        685 |                             uvicorn.logging
import time:        75 |         75 |                               uvicorn.middleware
import time:       315 |        389 |                             uvicorn.middleware.asgi2
import time:       451 |        451 |                             uvicorn.middleware.message_logger
import time:       691 |        691 |                             uvicorn.middleware.proxy_headers
import time:        66 |         66 |                               a2wsgi
import time:       990 |       1056 |                             uvicorn.middleware.wsgi
import time:      3025 |      12661 |                           uvicorn.config
import time:        40 |         40 |                               _wmi
import time:       483 |        523 |                             platform
import time:      1355 |       1355 |                             uvicorn.server
import time:       343 |        343 |                                       multiprocessing.process
import time:       287 |        287 |                                       multiprocessing.reduction
import time:       466 |       1095 |                                     multiprocessing.context
import time:       293 |       1387 |                                   multiprocessing
import time:        27 |         27 |                                     _multiprocessing
import time:       367 |        367 |                                     multiprocessing.util
import time:       151 |        151 |                                     _winapi
import time:       685 |       1229 |                                   multiprocessing.connection
import time:       217 |       2833 |                                 uvicorn._subprocess
import time:       719 |       3551 |                               uvicorn.supervisors.basereload
import time:      1685 |       1685 |                               uvicorn.supervisors.multiprocess
import time:        42 |         42 |                                 watchfiles
import time:       520 |        562 |                               uvicorn.supervisors.watchfilesreload
import time:       373 |        373 |                               uvicorn.supervisors.statreload
import time:       370 |       6538 |                             uvicorn.supervisors
import time:      1657 |      10072 |                           uvicorn.main
import time:       300 |      23033 |                         uvicorn
import time:         9 |      23041 |                       uvicorn.main
import time:      2094 |      25500 |                     sse_starlette.sse
import time:       420 |      26627 |                   sse_starlette
import time:       757 |      27384 |                 mcp.server.sse
import time:      2799 |       2799 |                 mcp.server.streamable_http
import time:       765 |        765 |                 mcp.server.streamable_http_manager
import time:      3358 |     129265 |               mcp.server.fastmcp.server
import time:      1081 |     130345 |             mcp.server.fastmcp
import time:       143 |     130487 |           mcp.server
import time:        14 |     130501 |         mcp.server.session
import time:       594 |     455052 |       mcp
import time:         7 |     455058 |     mcp.server
import time:         7 |     455064 |   mcp.server.fastmcp
import time:       354 |        354 |     markitdown.__about__
import time:      1528 |       1528 |           urllib3.exceptions
import time:       756 |        756 |                   urllib3.util.timeout
import time:       588 |       1344 |                 urllib3.util.connection
import time:       320 |        320 |                   urllib3.util.util
import time:        48 |         48 |                   brotlicffi
import time:        40 |         40 |                   brotli
import time:        31 |         31 |                   backports
import time:       782 |       1220 |                 urllib3.util.request
import time:       352 |        352 |                 urllib3.util.response
import time:      1395 |       1395 |                 urllib3.util.retry
import time:      3700 |       3700 |                   urllib3.util.url
import time:      1013 |       1013 |                   urllib3.util.ssltransport
import time:      1296 |       6009 |                 urllib3.util.ssl_
import time:       430 |        430 |                 urllib3.util.wait
import time:       269 |      11017 |               urllib3.util
import time:        13 |      11030 |             urllib3.util.connection
import time:       801 |      11830 |           urllib3._base_connection
import time:      1657 |       1657 |           urllib3._collections
import time:       401 |        401 |           urllib3._version
import time:       713 |        713 |                 urllib3.fields
import time:       305 |       1018 |               urllib3.filepost
import time:        94 |         94 |                 brotlicffi
import time:        37 |         37 |                 brotli
import time:       220 |        220 |                   urllib3.http2
import time:       552 |        552 |                   urllib3.http2.probe
import time:       529 |        529 |                   urllib3.util.ssl_match_hostname
import time:      2705 |       4003 |                 urllib3.connection
import time:        48 |         48 |                 backports
import time:      3755 |       7935 |               urllib3.response
import time:       619 |       9571 |             urllib3._request_methods
import time:       143 |        143 |             urllib3.util.proxy
import time:      2344 |      12057 |           urllib3.connectionpool
import time:      1817 |       1817 |           urllib3.poolmanager
import time:       704 |      29991 |         urllib3
import time:      1242 |       1242 |                 ada92cb5d92a588d1b93__mypyc
import time:      3610 |       3610 |                 charset_normalizer.constant
import time:      1403 |       1403 |                 charset_normalizer.utils
import time:      1324 |       1324 |                 charset_normalizer.models
import time:      1509 |       9085 |               charset_normalizer.cd
import time:        30 |         30 |               _multibytecodec
import time:      2487 |      11602 |             charset_normalizer.api
import time:       510 |        510 |             charset_normalizer.legacy
import time:       324 |        324 |             charset_normalizer.version
import time:        58 |         58 |             simplejson
import time:       752 |      13244 |           requests.compat
import time:      1151 |      14395 |         requests.exceptions
import time:        35 |         35 |         chardet
import time:       444 |        444 |         requests.packages
import time:       523 |        523 |               certifi.core
import time:       342 |        865 |             certifi
import time:       239 |       1104 |           requests.certs
import time:       212 |        212 |           requests.__version__
import time:       424 |        424 |           requests._internal_utils
import time:       735 |        735 |           requests._types
import time:      1856 |       1856 |           requests.cookies
import time:       613 |        613 |           requests.structures
import time:       167 |        167 |               importlib.resources._itertools
import time:       268 |        434 |             importlib.resources.readers
import time:       222 |        656 |           importlib.readers
import time:      2787 |       8384 |         requests.utils
import time:      1233 |       1233 |               requests.auth
import time:       337 |        337 |                   stringprep
import time:       340 |        677 |                 encodings.idna
import time:       280 |        280 |                 requests.hooks
import time:       761 |        761 |                 requests.status_codes
import time:      2950 |       4666 |               requests.models
import time:        71 |         71 |                 urllib3.contrib
import time:        61 |         61 |                 socks
import time:       707 |        838 |               urllib3.contrib.socks
import time:      1666 |       8401 |             requests.adapters
import time:      1943 |      10344 |           requests.sessions
import time:       442 |      10785 |         requests.api
import time:       755 |      64786 |       requests
import time:       925 |        925 |             numpy.version
import time:       294 |        294 |             numpy._expired_attrs_2_0
import time:       311 |        311 |                 numpy._utils._conversions
import time:       350 |        661 |               numpy._utils
import time:       391 |       1052 |             numpy._globals
import time:        17 |         17 |               numpy._distributor_init_local
import time:       312 |        329 |             numpy._distributor_init
import time:       473 |        473 |                       numpy.exceptions
import time:       852 |        852 |                       numpy._core._exceptions
import time:       319 |        319 |                       numpy._core.printoptions
import time:      6871 |       6871 |                       numpy.dtypes
import time:      7553 |      16066 |                     numpy._core._multiarray_umath
import time:       663 |        663 |                       numpy._utils._inspect
import time:       726 |       1388 |                     numpy._core.overrides
import time:      2508 |      19961 |                   numpy._core.multiarray
import time:       483 |        483 |                   numpy._core.umath
import time:       296 |        296 |                     numpy._core._string_helpers
import time:       551 |        551 |                     numpy._core._type_aliases
import time:       915 |       1761 |                   numpy._core.numerictypes
import time:      1275 |       1275 |                           numpy._core._methods
import time:      3084 |       4358 |                         numpy._core.fromnumeric
import time:      1495 |       5853 |                       numpy._core.shape_base
import time:       678 |        678 |                       numpy._core._ufunc_config
import time:       495 |        495 |                       numpy._core._asarray
import time:      3783 |       3783 |                       numpy._core.arrayprint
import time:      3192 |      13998 |                     numpy._core.numeric
import time:      3028 |      17026 |                   numpy._core.einsumfunc
import time:       963 |        963 |                   numpy._core.function_base
import time:      1107 |       1107 |                   numpy._core.getlimits
import time:       734 |        734 |                   numpy._core.memmap
import time:      2304 |       2304 |                   numpy._core.records
import time:      5071 |       5071 |                   numpy._core._add_newdocs
import time:       994 |        994 |                   numpy._core._add_newdocs_scalars
import time:      1150 |       1150 |                   numpy._core._dtype
import time:       475 |        475 |                   numpy._core._dtype_ctypes
import time:        72 |         72 |                       _ctypes
import time:       535 |        535 |                       ctypes._endian
import time:       856 |       1463 |                     ctypes
import time:      2895 |       4358 |                   numpy._core._internal
import time:       432 |        432 |                   numpy._pytesttester
import time:      1031 |      57843 |                 numpy._core
import time:        10 |      57853 |               numpy._core._multiarray_umath
